# stnm1 stnm2 tt err
 HARU  SA29  27.581   0.226
 HARU  SA30  30.401  -0.229
 HARU   ARJ  44.997  -1.005
 HARU  DUNU  27.132  -0.318
 HARU  ERTU  17.390  -0.637
  JOK  SA12  65.694   0.486
  JOK  SA13  48.537  -0.655
  JOK  SA14  37.296   0.369
  JOK  SA17  21.822  -0.104
  JOK  SA20   6.035   0.418
  JOK  SA22  25.184   0.136
  JOK  SA23  21.590  -0.717
  JOK  SA24  29.744  -0.463
  JOK  SA25  60.927   1.389
  JOK  SA26  81.138   1.081
  JOK  SA27  52.224  -0.953
  JOK  SA29  37.765   0.838
  JOK  SA30  48.454  -0.103
  JOK   ARJ  30.663  -0.099
  JOK  DUNU  17.602   0.248
  JOK  ERTU  29.419  -0.324
  JOK  HARU  20.757  -1.030
 KOVU  SA12  24.465  -1.641
 KOVU  SA13  14.130  -1.309
 KOVU  SA14  21.301   0.311
 KOVU  SA17  44.048  -0.460
 KOVU  SA20  50.611   0.250
 KOVU  SA22  66.062   0.923
 KOVU  SA23  64.384   0.356
 KOVU  SA24  70.178   0.531
 KOVU  SA25  92.215  -1.622
 KOVU  SA26 107.897  -0.164
 KOVU  SA27  89.592  -0.471
 KOVU  SA29  82.212  -0.970
 KOVU  SA30  88.752   1.162
 KOVU   ARJ  65.220   0.654
 KOVU  DUNU  31.271  -0.012
 KOVU  ERTU  51.563  -0.414
 KOVU  HARU  58.391  -0.715
 KOVU   JOK  45.014   0.090
  KUA  SA12  31.962  -1.428
  KUA  SA13  19.129   0.722
  KUA  SA14  15.420  -1.958
  KUA  SA17  39.707   0.463
  KUA  SA20  43.400  -0.474
  KUA  SA22  60.124  -0.372
  KUA  SA23  56.828   0.780
  KUA  SA24  62.476  -0.503
  KUA  SA25  88.373  -0.047
  KUA  SA26 105.011  -1.204
  KUA  SA27  84.609  -2.701
  KUA  SA29  74.796  -1.040
  KUA  SA30  81.017   0.539
  KUA   ARJ  60.297  -1.383
  KUA  DUNU  23.570   0.161
  KUA  ERTU  44.040   0.735
  KUA  HARU  50.668   0.382
  KUA   JOK  37.987   0.156
  KUA  KOVU   7.746  -1.277
 LANU  SA12  40.609   1.193
 LANU  SA13  33.751   0.308
 LANU  SA14  10.584   0.690
 LANU  SA17  55.130   1.679
 LANU  SA20  51.734   1.014
 LANU  SA22  72.071  -0.556
 LANU  SA23  62.104  -0.519
 LANU  SA24  65.567  -0.424
 LANU  SA25 103.646  -0.907
 LANU  SA26 121.240  -0.313
 LANU  SA27  98.150   1.131
 LANU  SA29  80.619  -1.485
 LANU  SA30  82.625  -1.002
 LANU   ARJ  74.351   0.242
 LANU  DUNU  30.099  -0.289
 LANU  ERTU  41.797   0.670
 LANU  HARU  53.816   1.274
 LANU   JOK  47.530   0.024
 LANU  KOVU  19.626   0.132
 LANU   KUA  17.508  -0.974
 MASU  SA12  53.057   1.719
 MASU  SA13  41.628  -1.678
 MASU  SA14   7.793   0.128
 MASU  SA17  48.497  -0.776
 MASU  SA20  38.280  -0.693
 MASU  SA22  60.430   0.222
 MASU  SA23  46.647   0.300
 MASU  SA24  49.381  -0.469
 MASU  SA25  94.984  -0.283
 MASU  SA26 114.127  -0.657
 MASU  SA27  87.393   1.244
 MASU  SA29  65.078  -1.109
 MASU  SA30  66.124   1.486
 MASU   ARJ  64.783   0.312
 MASU  DUNU  18.094   1.767
 MASU  ERTU  25.281  -0.440
 MASU  HARU  37.813  -0.754
 MASU   JOK  35.247  -0.766
 MASU  KOVU  28.919   0.148
 MASU   KUA  22.500  -0.821
 MASU  LANU  16.551  -0.056
  MOS  SA12  89.005   1.177
  MOS  SA13  71.624  -0.229
  MOS  SA14  60.529  -0.137
  MOS  SA17  35.565  -0.219
  MOS  SA20  19.361   1.369
  MOS  SA22  15.006   1.760
  MOS  SA23  14.978   0.101
  MOS  SA24  22.034   1.026
  MOS  SA25  50.378   0.413
  MOS  SA26  71.825  -0.088
  MOS  SA27  36.907  -0.257
  MOS  SA29  16.776  -1.250
  MOS  SA30  34.467  -1.518
  MOS   ARJ  26.458  -1.924
  MOS  DUNU  40.993   1.455
  MOS  ERTU  41.467  -0.633
  MOS  HARU  24.409  -1.259
  MOS   JOK  24.401  -0.137
  MOS  KOVU  69.329  -0.495
  MOS   KUA  62.386  -0.500
  MOS  LANU  71.032  -1.010
  MOS  MASU  57.019  -0.295
 NIKU  SA12  30.890   0.555
 NIKU  SA13  13.629   0.146
 NIKU  SA14  27.908  -0.113
 NIKU  SA17  29.189  -1.829
 NIKU  SA20  40.913   1.737
 NIKU  SA22  52.691   0.569
 NIKU  SA23  56.086  -0.388
 NIKU  SA24  63.293  -0.360
 NIKU  SA25  76.887  -0.069
 NIKU  SA26  92.473  -1.409
 NIKU  SA27  74.897   0.414
 NIKU  SA29  72.630   0.447
 NIKU  SA30  82.257  -0.074
 NIKU   ARJ  50.603  -1.160
 NIKU  DUNU  26.742  -0.976
 NIKU  ERTU  50.338   0.545
 NIKU  HARU  52.258   0.584
 NIKU   JOK  34.907  -0.634
 NIKU  KOVU  15.432   0.134
 NIKU   KUA  13.953   0.827
 NIKU  LANU  31.460   0.356
 NIKU  MASU  33.667  -1.132
 NIKU   MOS  58.142  -1.506
 SALU  SA12  44.698  -0.439
 SALU  SA13  27.333   0.795
 SALU  SA14  34.676   1.193
 SALU  SA17  14.628  -0.529
 SALU  SA20  29.550  -1.444
 SALU  SA22  38.099   1.006
 SALU  SA23  45.189   1.154
 SALU  SA24  53.345   0.917
 SALU  SA25  63.083  -1.648
 SALU  SA26  79.797  -2.695
 SALU  SA27  60.249  -0.106
 SALU  SA29  60.232   0.368
 SALU  SA30  72.094  -0.501
 SALU   ARJ  35.905   0.753
 SALU  DUNU  23.550  -2.014
 SALU  ERTU  46.483  -1.575
 SALU  HARU  43.546  -0.532
 SALU   JOK  23.640  -1.786
 SALU  KOVU  29.420   1.039
 SALU   KUA  25.335  -0.226
 SALU  LANU  41.555   0.673
 SALU  MASU  37.759  -0.103
 SALU   MOS  44.808  -1.267
 SALU  NIKU  14.774   1.416
 SJUU  SA12 101.168  -1.289
 SJUU  SA13  85.083   2.490
 SJUU  SA14  61.045   0.859
 SJUU  SA17  59.288   0.054
 SJUU  SA20  33.646   1.000
 SJUU  SA22  45.236  -1.800
 SJUU  SA23  18.928  -0.353
 SJUU  SA24   9.798  -0.038
 SJUU  SA25  80.382  -0.468
 SJUU  SA26 101.747  -1.087
 SJUU  SA27  65.817  -1.039
 SJUU  SA29  21.281   0.920
 SJUU  SA30  11.629   0.096
 SJUU   ARJ  56.475  -0.255
 SJUU  DUNU  46.468   0.462
 SJUU  ERTU  29.856  -0.234
 SJUU  HARU  19.604   0.970
 SJUU   JOK  39.164  -1.100
 SJUU  KOVU  77.572  -0.744
 SJUU   KUA  69.827  -1.639
 SJUU  LANU  71.008   0.469
 SJUU  MASU  54.500  -0.249
 SJUU   MOS  30.555   0.946
 SJUU  NIKU  71.857   0.093
 SJUU  SALU  62.624  -0.348
 N2BR  SA12  43.765   0.209
 N2BR  SA13  42.681   0.116
 N2BR  SA14  75.991  -1.405
 N2BR  SA17  55.309   0.679
 N2BR  SA20  80.011  -0.255
 N2BR  SA22  78.329  -1.103
 N2BR  SA23  95.300  -0.928
 N2BR  SA24 104.048  -0.447
 N2BR  SA25  79.175  -0.659
 N2BR  SA26  84.380   0.605
 N2BR  SA27  86.831  -1.050
 N2BR  SA29 107.305  -1.325
 N2BR  SA30 122.186  -1.272
 N2BR   ARJ  69.313  -1.621
 N2BR  DUNU  73.970  -0.031
 N2BR  ERTU  97.727  -0.284
 N2BR  HARU  95.121   1.268
 N2BR   JOK  74.566   0.649
 N2BR  KOVU  56.795  -0.070
 N2BR   KUA  60.675  -1.094
 N2BR  LANU  76.421  -0.617
 N2BR  MASU  82.410  -2.680
 N2BR   MOS  90.583  -0.138
 N2BR  NIKU  48.928   0.159
 N2BR  SALU  51.868   0.426
 N2BR  SJUU 113.652   0.629
 N2HA  SA12  24.181  -0.402
 N2HA  SA13  26.138  -1.168
 N2HA  SA14  60.575   0.349
 N2HA  SA17  52.469  -1.933
 N2HA  SA20  73.635   1.224
 N2HA  SA22  77.716  -2.064
 N2HA  SA23  89.275   0.663
 N2HA  SA24  97.356   0.044
 N2HA  SA25  87.487  -0.923
 N2HA  SA26  96.466  -1.021
 N2HA  SA27  91.992  -1.025
 N2HA  SA29 103.749  -0.565
 N2HA  SA30 116.166  -1.068
 N2HA   ARJ  70.875   1.570
 N2HA  DUNU  62.770   0.025
 N2HA  ERTU  86.426  -1.240
 N2HA  HARU  87.103  -0.985
 N2HA   JOK  67.715   0.022
 N2HA  KOVU  39.956  -0.292
 N2HA   KUA  45.212   0.970
 N2HA  LANU  59.311  -1.542
 N2HA  MASU  67.670  -0.969
 N2HA   MOS  87.624  -1.606
 N2HA  NIKU  36.089  -2.342
 N2HA  SALU  44.085  -0.066
 N2HA  SJUU 106.480   1.274
 N2HA  N2BR  19.593   0.340
 N2IH  SA12  41.368   0.490
 N2IH  SA13  31.905  -0.674
 N2IH  SA14  60.512  -0.665
 N2IH  SA17  34.085   1.498
 N2IH  SA20  58.967  -0.696
 N2IH  SA22  57.575  -0.729
 N2IH  SA23  74.149  -0.432
 N2IH  SA24  82.958  -0.015
 N2IH  SA25  63.852   1.112
 N2IH  SA26  73.368  -0.145
 N2IH  SA27  68.920   1.084
 N2IH  SA29  86.132  -0.302
 N2IH  SA30 100.993   1.083
 N2IH   ARJ  49.239  -0.107
 N2IH  DUNU  54.867   0.846
 N2IH  ERTU  78.213  -2.753
 N2IH  HARU  74.337   0.021
 N2IH   JOK  53.655  -0.043
 N2IH  KOVU  44.544  -0.421
 N2IH   KUA  46.122   0.313
 N2IH  LANU  63.325  -1.402
 N2IH  MASU  65.929   0.943
 N2IH   MOS  69.440   0.948
 N2IH  NIKU  32.612   0.676
 N2IH  SALU  31.760   0.957
 N2IH  SJUU  92.610  -0.399
 N2IH  N2BR  21.227  -0.059
 N2IH  N2HA  23.639   0.449
 N2LO  SA12  33.932   0.518
 N2LO  SA13  29.638   0.824
 N2LO  SA14  62.421   0.712
 N2LO  SA17  44.473  -1.029
 N2LO  SA20  67.971   1.100
 N2LO  SA22  68.882  -0.528
 N2LO  SA23  83.477  -1.018
 N2LO  SA24  92.016  -0.857
 N2LO  SA25  75.665  -1.369
 N2LO  SA26  84.166  -1.863
 N2LO  SA27  81.004   0.358
 N2LO  SA29  96.567  -0.913
 N2LO  SA30 110.464  -1.744
 N2LO   ARJ  61.025   1.337
 N2LO  DUNU  60.587  -0.184
 N2LO  ERTU  84.403  -0.928
 N2LO  HARU  82.607   1.341
 N2LO   JOK  62.320  -0.064
 N2LO  KOVU  43.635  -0.548
 N2LO   KUA  47.158   0.386
 N2LO  LANU  63.219  -0.223
 N2LO  MASU  68.780  -0.228
 N2LO   MOS  80.039  -0.254
 N2LO  NIKU  35.291  -0.690
 N2LO  SALU  39.087  -0.374
 N2LO  SJUU 101.484  -0.801
 N2LO  N2BR  13.640   0.364
 N2LO  N2HA  12.327   0.670
 N2LO  N2IH  12.084   0.587
